ticker,weight
HINDUNILVR.NS,0.12497976906773638
HDFCBANK.NS,0.12167013220857431
ICICIBANK.NS,0.10541513434013906
BAC,0.08651749887396996
TCS.NS,0.0809650657807959
ITC.NS,0.062412576114930465
MSFT,0.06189812553073932
JPM,0.05309201323994171
GOOGL,0.05051827774892222
AAPL,0.04916053845864601
TITAN.NS,0.04159127562307289
INFY.NS,0.03872249680590253
ONGC.NS,0.03835515627605289
SBIN.NS,0.03831116299553466
AXISBANK.NS,0.030638658673599224
RELIANCE.NS,0.009223814678856438
LT.NS,0.006528303582585846
AMD,1.1752255451212845e-16
AMZN,1.0739567124903167e-16
HCLTECH.NS,6.803910119438671e-18
WIPRO.NS,4.877971687195687e-18
BAJFINANCE.NS,0.0
META,0.0
NVDA,0.0
TSLA,0.0
